Namee,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Ankur Prajapati,9928199429,Pilibhit,Google Ad,Deepali Yadav,Active lead,NO,NO
Babin Das,9993331929,Hooghly,Google Ad,Ritik Yadav,Active lead,NO,NO
Phillip Lall Masih,9892227122,Ambala Cantt,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Rajesh Nasare,9829721239,Nagpur,Google Ad,Akash Sharma,End Lead,NO,NO
Prakash Basle,9842729824,Mysore,FB,Senthil Nadar,Active lead,NO,NO
Rajendra Kumar Sharma,9412911477,Lucknow,FB,Ronak Jadhav,Active lead,NO,NO
Smith Gu,12238974298,muvatupuzha,FB,Deepali Kasatwar,End Lead,NO,NO
Sai Ganesh,9922271474,Visakhapatnam,FB,Roshan Patil,End Lead,NO,NO
Sachin Deshmukh,7499282392,Akola,FB,Kiran Dhakal,End Lead,NO,NO
Anand Kumar Suryanarayanan,9442833473,Coimbatore,FB,Pooja Melwani,End Lead,NO,NO
Shubham,9972129227,Nashik,FB,Manisha Parte,End Lead,NO,NO
Sridhar Gajoju,9392241818,Jagtial,Google Ad,Anchal Mishra,End Lead,NO,NO
Ramanji,2392234491,Andhrapradesh,Google Ad,Nilesh Shinde,Active lead,NO,NO
James Kangujam,8131823994,Imphal,Google Ad,Deepali Yadav,End Lead,NO,NO
Rooptinder Kaur,8234918293,Kashipur,Google Ad,Ritik Yadav,Active lead,NO,NO
Mahadeva S K,7219327912,Mysore,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
Mohan Gupta,7297178272,Lucknow,Investment Leads,Akash Sharma,End Lead,NO,NO
Huligemma Bidarkundi Bidarkundi,7223994421,Tamilnadu,Investment Leads,Suryakant Choudhary,Active lead,NO,NO
Dikshant Gupta,9912912929,Madhya Pradesh,Investment Leads,Sushant Nikam,End Lead,NO,NO
Mayank,9237197847,mumbai,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
sasmita dungdung,9937322942,Kerla,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Dilip Kumar,9787191718,Lucknow,Investment Leads,Rohit Sonar,End Lead,NO,NO
Pratik kumar,8882129172,Lucknow,whatsapp,Ronak Jadhav,End Lead,NO,NO
Bhavesh,9994384312,Surat,whatsapp,Deepali Kasatwar,Hot lead,NO,YES
Thakur,8429922489,Rajeshthan,whatsapp,Roshan Patil,Active lead,NO,NO
Santosh ,9834322939,Navi Mumbai,whatsapp,Kiran Dhakal,Active lead,NO,NO
Dileep kumar,8349288291,lucknow,PZ VIP,Pooja Melwani,Active lead,NO,NO
Alliraj R,9994882993,Mumbai,PZ VIP,Manisha Parte,End Lead,NO,NO
Namdev Labade patil,7927132391,Aurangabad,Insta,Anchal Mishra,End Lead,NO,NO
R C Ponraj,7373348321,covai,Insta,Nilesh Shinde,End Lead,NO,NO
Piyush karamchandani,7379983711,Gorakhpur,Insta,Deepali Yadav,End Lead,NO,NO
Dr Ahamed Nabeel,8299182224,Kollam,Insta,Ritik Yadav,End Lead,NO,NO
Stanley Sahaya Raja,9941372181,Chennai,Insta,Abhijeet Bramhane,End Lead,NO,NO
alliraj,9799378999,coimbatore,Insta,Akash Sharma,End Lead,NO,NO
Sanjay Kumar Srivastava,9431438242,ara,Insta,Suryakant Choudhary,End Lead,NO,NO
Ramasamy Karuppannasamy,9299314229,Salem,Insta,Sushant Nikam,End Lead,NO,NO
Gnanakumaran Sivagnanam,9989222942,Tiruchirappalli,Insta,Azimuddin Mohd,End Lead,NO,NO
Anos Gninof,9839973478,Siliguri,Insta,Tamanna Sahu,End Lead,NO,NO
Kalpana,2247272882,Mumbai,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
amar,9998239818,bijapur near,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Shashi Kumar Varma,7982112498,Noida,Google Ad,Azimuddin Mohd,Active lead,NO,NO
balraj gill,9422148223,Kaithal,Google Ad,Roshan Patil,End Lead,NO,NO
Ankush Sood,9732112921,Shimla,Google Ad,Pooja Melwani,End Lead,NO,NO
Lokendra Singh Jadoun,9979812883,Jaipur,Insta,Anchal Mishra,End Lead,NO,NO
Dheeraj Singh,8799292212,patna,Insta,Nilesh Shinde,End Lead,NO,NO
Trivendra Maravi,7949399119,Mandla,Insta,Ronak Jadhav,End Lead,NO,NO
Pulkit Banka,9792232272,Guntur,Insta,Deepali Kasatwar,End Lead,NO,NO
Aditya Nag Aditya Nag,8228911222,Rayagada,Insta,Abhijeet Bramhane,End Lead,NO,NO
Rakesh Sharma,9429392871,Jammu,Insta,Deepali Kasatwar,End Lead,NO,NO
devendra,9228998899,Vrindaban,Insta,Sushant Nikam,End Lead,NO,NO
Prem Kumar,9443449834,vellore,Insta,Tamanna Sahu,End Lead,NO,NO
Wasim Afzal,7889271994,Srinagar,Insta,Roshan Patil,End Lead,NO,NO
Mahaveer Shekhawat,9292228317,Jaipur,Insta,Sushant Nikam,End Lead,NO,NO
Raghunath Swain,8289122199,Berhampur,Insta,Tamanna Sahu,End Lead,NO,NO
Krishna Krish,9113827297,Chitradurga,FB,Deepali Kasatwar,End Lead,NO,NO
Rahul Srivastav,9422497419,Bareilly,FB,Tamanna Sahu,End Lead,NO,NO
Ravindrasingh Gaud,9822292722,Pune,FB,Sushant Nikam,End Lead,NO,NO
Bibhuti Naik,9439929211,Bolangir,FB,Azimuddin Mohd,End Lead,NO,NO
Manojpatra,8237292187,Baner,FB,Azimuddin Mohd,End Lead,NO,NO
Vijay Haribhau.mankar,9294318442,Akola maharashtra,FB,Azimuddin Mohd,End Lead,NO,NO
Bajrang Lal Saini,7972429912,Ramganjmandi,FB,Azimuddin Mohd,End Lead,NO,NO
Rashid Alam,7222822299,Bhagalpur,FB,Sushant Nikam,End Lead,NO,NO
Tukaram Bhagwan Kendre,8892147233,kandhar,FB,Pooja Melwani,End Lead,NO,NO
Manjula Sasilekha,9448322823,Bangalore,FB,Pooja Melwani,End Lead,NO,NO
Shrikant S Kamat,7983322712,KOLHAPUR,PZ VIP,Anchal Mishra,Active lead,NO,NO
Abhay Suryavanshi,9829392979,Chalisgaon,PZ VIP,Anchal Mishra,Active lead,NO,NO
Kalyani,8239344141,Tamilnadu,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Krish,9412932888,Navi Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Ekansh,8899843913,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Dipshika,9229417138,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Balaji Sarangapani,9222994221,Lucknow,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Farmers Hub,9448482292,Mumbai,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Khursed Alam,9212299392,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Inderjeet Khatuwas Ijy,9288927982,Tamilnadu,Investment Leads,Sushant Nikam,Active lead,NO,NO
Ashish,8229948232,Navi Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
ASH,9222412228,Nagpur,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Chetan Pawaiya,9922212777,Nashik,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Sandeep Panigrahi,7978248911,Mumbai,Investment Leads,Senthil Nadar,End Lead,NO,NO
sai_pawar22,9294287129,Surat,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Rajan,8847383822,Surat,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Rajeev Lankapalli,8919742231,Tamilnadu,Investment Leads,Roshan Patil,Active lead,NO,NO
Suryansh Pratap Singh,9928422211,Patna,whatsapp,Kiran Dhakal,Hot lead,YES,Coverted
Shubham Singh,7792294992,Agra,Investment Leads,Pooja Melwani,End Lead,NO,NO
Titiksha Govindjiwala Gupta,9479927227,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
Samer D,8423232921,bhubaneswar,Investment Leads,Anchal Mishra,End Lead,NO,NO
Sameer Aggarwal,8923988872,chakur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Yuvraj,8722282897,belgaum,Insta,Deepali Yadav,Hot lead,YES,Coverted
Skumar Kumar,9931922927,mysore,Investment Leads,Ritik Yadav,End Lead,NO,NO
Sameer Khan,9723314179,Rourkela,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
SumitB,9741823124,kendrapara,Investment Leads,Akash Sharma,End Lead,NO,NO
Praveen Kumar Reddy,9222177924,baragur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Saroj Kumar Mohapatra,9439982921,Konarka,Investment Leads,Sushant Nikam,End Lead,NO,NO
Manuel Baptista,9819292923,Bangalore,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Mike Ivan,7412399989,"pathri, parbhani",Investment Leads,Tamanna Sahu,End Lead,NO,NO
Satya Ranjan Rout,9232927228,bhubaneswar,Insta,Rohit Sonar,End Lead,NO,NO
Rahul Aradwad,8999222929,chakur,Insta,Senthil Nadar,End Lead,NO,NO
Harish Sogalad,9198818722,belgaum,Insta,Ronak Jadhav,Active lead,NO,NO
Javeed Ahamed,9291822482,mysore,Insta,Deepali Kasatwar,Active lead,NO,NO
Jyoti Prakash Pal,8117822921,Rourkela,Insta,Roshan Patil,End Lead,NO,NO
Hiranya Samal,9911372292,kendrapara,Insta,Kiran Dhakal,End Lead,NO,NO
Sidda Lingappa,9232292217,baragur,Insta,Pooja Melwani,End Lead,NO,NO
Surendra Sahoo,9437327292,Konarka,Insta,Manisha Parte,End Lead,NO,NO
Pramod Kumar Pramod,9282328212,Bangalore,Insta,Anchal Mishra,Active lead,NO,NO
Parkash Ujagareइ,9222943328,"pathri, parbhani",Insta,Nilesh Shinde,End Lead,NO,NO
Shyamal Halder,9734279748,Falta,Insta,Deepali Yadav,End Lead,NO,NO
Mohammed Thakiuddeen,9741497124,Puttur,Insta,Ritik Yadav,End Lead,NO,NO
Rahul Prabhakar Badgujar,9823292417,Boradi,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Prashanth Telsang,9489787928,Athani,Google Ad,Akash Sharma,End Lead,NO,NO
Chetan Patil,8398242399,Jalgaon,Google Ad,Suryakant Choudhary,End Lead,NO,NO
niraj,9229298799,Ajmer,Google Ad,Sushant Nikam,End Lead,NO,NO
Shrinath Shriya,7272224742,Hassan,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Annappa Choudhari,7229292473,Vijayapur,Google Ad,Tamanna Sahu,End Lead,NO,NO
Rakesh Kumar,8434324912,barbigha sheakpura (vil maldah),Google Ad,Rohit Sonar,End Lead,NO,NO
Vijay Sindara,9993142211,Manawar,Google Ad,Senthil Nadar,End Lead,NO,NO
MANDLA MAWAI MP FARMER PRODUCER COMPANY LIMITED,9424932232,BICHHIYA,Google Ad,Ronak Jadhav,End Lead,NO,NO
Sagar Pandey,8149443794,Mogri,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Bubhuti Tripathy,9938918729,bhubaneswar,Google Ad,Roshan Patil,End Lead,NO,NO
Yogesh deharia,9349297282,bhopal,FB,Kiran Dhakal,Active lead,NO,NO
Ashwini Mishra,9437129227,Bhubaneswar,FB,Pooja Melwani,Active lead,NO,NO
Rakesh Jain,9429189222,Jaipur,FB,Manisha Parte,Active lead,NO,NO
Libu Khan,8991882229,malda,FB,Anchal Mishra,Active lead,NO,NO
Babusona Mondal,7944339818,Naihati,FB,Nilesh Shinde,End Lead,NO,NO
Ansari Ali,7328292994,Chennai,FB,Deepali Yadav,Active lead,NO,NO
Narsing Kunapu,9849422231,Srikakulam,FB,Ritik Yadav,End Lead,NO,NO
Sridhar Selvam,9299323992,Tirupattur,FB,Abhijeet Bramhane,Active lead,NO,NO
Panchal Anil,9817329299,Safidon,FB,Akash Sharma,End Lead,NO,NO
Suresh Kumar,8722949933,Jaipur,FB,Suryakant Choudhary,Hot lead,YES,Coverted
Mohanavelan,9712218224,Erode,FB,Sushant Nikam,End Lead,NO,NO
Shahid Rasheed,9223224232,nashik,FB,Azimuddin Mohd,Active lead,NO,NO
Sath Ish,8897238431,Vellore,FB,Tamanna Sahu,End Lead,NO,NO
Gauri Sood Puri,8894822222,Shimla,FB,Rohit Sonar,Hot lead,YES,Coverted
Vishwa Jadhav,7229222992,Parbhani,FB,Senthil Nadar,End Lead,NO,NO
Siddhrath Jaiswal,9922923838,Navi Mumbai,PZ VIP,Ronak Jadhav,Active lead,NO,NO
Thankur Misha,7972221398,bhubaneswar,whatsapp,Deepali Kasatwar,End Lead,NO,NO
Rahul badgae,9972299424,chakur,whatsapp,Roshan Patil,End Lead,NO,NO
Prashant Sang,9324793322,belgaum,whatsapp,Kiran Dhakal,Active lead,NO,NO
Patil charu,9294942899,mysore,whatsapp,Pooja Melwani,Active lead,NO,NO
Niraj cho,9982287892,Rourkela,whatsapp,Manisha Parte,End Lead,NO,NO
Sreena,9791999322,kendrapara,whatsapp,Anchal Mishra,End Lead,NO,NO
Choudhari ,8827927849,baragur,whatsapp,Nilesh Shinde,End Lead,NO,NO
Rakesh bhaa,9827132949,Konarka,whatsapp,Deepali Yadav,End Lead,NO,NO
Vijay Sinda,9839983997,Bangalore,whatsapp,Ritik Yadav,Hot lead,YES,Coverted
dinakar reddy k,9449492229,Chittoor,PZ VIP,Ronak Jadhav,End Lead,NO,NO
Sagar chand,9142241233,mysore,Calling,Deepali Kasatwar,Active lead,NO,NO
Sammer,9887774297,Rourkela,Calling,Roshan Patil,End Lead,NO,NO
Gaurav,9122991922,kendrapara,whatsapp,Kiran Dhakal,Active lead,NO,NO
Farham,9.73E+09,baragur,whatsapp,Pooja Melwani,Active lead,NO,NO
Danish,9242474422,Konarka,whatsapp,Manisha Parte,Active lead,NO,NO
Shaik Naseer,9882812921,Bangalore,FB,Anchal Mishra,Active lead,NO,NO
V Karuppusamy,9222723248,Tamilnadu,FB,Nilesh Shinde,Active lead,NO,NO
Abhisek Roy,8348324313,Berhampore,FB,Deepali Yadav,End Lead,NO,NO
Prakash Gupta,9221293782,sitamarhi,FB,Ritik Yadav,End Lead,NO,NO
farhan,9432299992,Mumbai,FB,Abhijeet Bramhane,Hot lead,NO,YES
yesubabu katuri,9799289328,Nashik,FB,Akash Sharma,Hot lead,YES,Coverted
Santosh Sah,9924413931,Dibrugarh,FB,Suryakant Choudhary,End Lead,NO,NO
Abhay Pandey Řj,9928423222,Vaidpura Etawah,FB,Sushant Nikam,End Lead,NO,NO
zubair Raza,9113291248,Bangalore,FB,Azimuddin Mohd,Active lead,NO,NO
Rahul Rajput,8429339232,Surat,FB,Tamanna Sahu,Active lead,NO,NO
Mrinmay Ghosh,7292732232,Barnia,Insta,Rohit Sonar,End Lead,NO,NO
Yogesh Rahate,8972148998,Sengaon,Insta,Ronak Jadhav,End Lead,NO,NO
Geeta Singh,9282788117,Bareilly,Insta,Deepali Kasatwar,Active lead,NO,NO
Javed Hussain,9421297929,Udaipur,Insta,Roshan Patil,Active lead,NO,NO
Parveen kumar,8229822312,Karnal,Insta,Kiran Dhakal,End Lead,NO,NO
Vinod Gupta,9223922217,Kaimganj,Insta,Pooja Melwani,End Lead,NO,NO
Khan Bashir,9992998993,Sopore,Insta,Manisha Parte,End Lead,NO,NO
Hari Kumar,9982722972,Tirupathi,Insta,Anchal Mishra,Active lead,NO,NO
Gnana Sekaran.M,8879294821,Karur,Insta,Nilesh Shinde,End Lead,NO,NO
Raghu Raghav,9449129999,Mysore,Google Ad,Deepali Yadav,Active lead,NO,NO
Pardeep Vishwakarma,9219222321,shamli,Google Ad,Ritik Yadav,Active lead,NO,NO
Dharma,9947972727,Kanchipuram,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Karthik A,7981283189,Kadapa,Google Ad,Akash Sharma,End Lead,NO,NO
Ekta Singh,8722229291,Varanasi,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Santhosh Teepireddy,9949324232,jagtial,Google Ad,Sushant Nikam,Active lead,NO,NO
Shravan Gupta,9412149923,sitapur,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Arun Kumar Devara,9227971222,Ajmer district,Google Ad,Tamanna Sahu,Active lead,NO,NO
Anand,9422947423,varanasi,Google Ad,Rohit Sonar,Active lead,NO,NO
Yash Upadhyay,9313198797,shamli,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Siddharth Konjengbam,8739924919,Kanchipuram,Investment Leads,Deepali Kasatwar,End Lead,NO,NO
somu,7349232222,Kadapa,Investment Leads,Roshan Patil,End Lead,NO,NO
Harish Nayak,9439999927,Varanasi,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Narasimha Reddy,9222132278,jagtial,Investment Leads,Pooja Melwani,End Lead,NO,NO
Shubam Aggarwal,9824281231,sitapur,Investment Leads,Manisha Parte,End Lead,NO,NO
Navdeep Samra,7888919372,Ajmer district,Investment Leads,Anchal Mishra,Active lead,NO,NO
Navin,7912271728,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,NO
Alpesh,9829291724,Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
Sanjana,8219991911,delhi,whatsapp,Roshan Patil,Active lead,NO,NO
Ashok Reddy,9218817137,Markapur,FB,Kiran Dhakal,End Lead,NO,NO
sarvesh Singh Sengar,9794993912,Jhansi,FB,Pooja Melwani,Active lead,NO,NO
Sanjeev Verma,9329492111,etawah,FB,Manisha Parte,End Lead,NO,NO
Ashitosh Bhosale,8989721724,Satara . koregoan,FB,Anchal Mishra,End Lead,NO,NO
Piyush Kumar,9227998319,Morna,FB,Nilesh Shinde,End Lead,NO,NO
harendra Singh,9772921222,bharatpur,FB,Deepali Yadav,End Lead,NO,NO
anu,9222119321,Chennai,FB,Ritik Yadav,Active lead,NO,NO
Beant Singh,9417921794,FZR,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
sandeep standlee,8239822329,Guntur,Google Ad,Akash Sharma,Active lead,NO,NO
Bandiya,7912919198,Jam khambhaliya,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Medhini Farms,7919994818,Bengaluru,Google Ad,Sushant Nikam,Active lead,NO,NO
Dhvanilkumar bhikhubhai paradhi,9773422222,Chikhli Navsari Gujarat,Google Ad,Azimuddin Mohd,Active lead,NO,NO
wakas ibrahim kaware,9724821981,CHIPLUN,Google Ad,Tamanna Sahu,Active lead,NO,NO
Durga P,8399477729,Vellala cheruvu,Insta,Rohit Sonar,Active lead,NO,NO
Abdul sadab khan,9949999919,Balasore,Insta,Ronak Jadhav,End Lead,NO,NO
Surendra Singh,9292878222,Jaipur,Insta,Deepali Kasatwar,Active lead,NO,NO
Arata Trana Mahunta,7789919118,Jajpur,Insta,Roshan Patil,Active lead,NO,NO
Ravi Madhale,9749414189,bharatpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Anoj Sidhu,9811288974,Chennai,Investment Leads,Pooja Melwani,Active lead,NO,NO
Fataniya Jay,7941737931,FZR,Investment Leads,Manisha Parte,End Lead,NO,NO
Sunil Chauhan,9971247193,Guntur,Investment Leads,Anchal Mishra,End Lead,NO,NO
Manikanta Kumar Veeravalli,9998943291,Jam khambhaliya,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Aditya Sharma,9214999949,Bengaluru,Investment Leads,Deepali Yadav,Active lead,NO,NO
Abhishek Pawar,8237732882,RAIGAD,PZ VIP,Ritik Yadav,Active lead,NO,NO
Ganesh kade,8999279799,Mumbai,PZ VIP,Abhijeet Bramhane,Active lead,NO,NO
sanofar rafi,282873998,Trivandrum,PZ VIP,Akash Sharma,Active lead,NO,NO
manik bansal,9224393293,delhi,PZ VIP,Suryakant Choudhary,Active lead,NO,NO
Vibhor Meshram,9429242223,Aurangabad,Insta,Sushant Nikam,Hot lead,YES,Coverted
Raju,7412313332,Gorakhpur,Calling,Ronak Jadhav,End Lead,NO,NO
Ram,9727792999,Krishnagiri,Calling,Deepali Kasatwar,End Lead,NO,NO
Shyamaa,8897129143,Navi Mumbai,Calling,Roshan Patil,Active lead,NO,NO
SHAM,9821217272,Aurangabad,Calling,Kiran Dhakal,Hot lead,YES,Coverted
Kartttik,9349994129,Mumbai,whatsapp,Pooja Melwani,Hot lead,NO,YES
Rajan Singh Sishaudia,7889333922,Gorakhpur,FB,Manisha Parte,End Lead,NO,NO
Manoj Patel,7987781144,Bhubaneswar,FB,Anchal Mishra,End Lead,NO,NO
carring man,2374222499,Krishnagiri,FB,Nilesh Shinde,End Lead,NO,NO
Prit,9282221922,Himatnagar,FB,Deepali Yadav,End Lead,NO,NO
Amet Duggal,9999423429,Lucknow,FB,Ritik Yadav,Active lead,NO,NO
Sunny Pardeshi,7929392297,Pune,FB,Abhijeet Bramhane,Active lead,NO,NO
Kalyani Anagani,9347222723,Hyderabad,Google Ad,Akash Sharma,End Lead,NO,NO
Kuldeep Verma Verma,8822997291,Shahjahanpur,Google Ad,Suryakant Choudhary,Active lead,NO,NO
maulik rakholiya,9979134832,bhesan,Google Ad,Sushant Nikam,End Lead,NO,NO
Pradeep S Muttagi,7992299324,Hirekerur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Himanshu,9149979722,Vadodara,Google Ad,Tamanna Sahu,End Lead,NO,NO
Viraj Raichura,9823289713,Ahmedabad,Google Ad,Rohit Sonar,End Lead,NO,NO
PUSARAM TAK,9414229829,Aurangabad,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Renuka Murthy,8822229291,Aurangabad,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Bagicha,9422922997,Fatehpur,Investment Leads,Roshan Patil,Active lead,NO,NO
Jadeja,9924992828,Cuttack,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Sunny Thakur,9929279229,Kolkatta,Investment Leads,Pooja Melwani,Active lead,NO,NO
Shashikant,9731973397,Banaganapalle,Investment Leads,Manisha Parte,End Lead,NO,NO
Raju Pramanik,9121922129,delhi,Investment Leads,Anchal Mishra,Active lead,NO,NO
Ishwarbhai patel,9893133142,Aurangabad,PZ VIP,Nilesh Shinde,Active lead,NO,NO
C J Pathak,9822449922,Aurangabad,PZ VIP,Deepali Yadav,Active lead,NO,NO
Umesh Chandra,9429972299,Fatehpur,Insta,Ritik Yadav,End Lead,NO,NO
Prasenjit Das,9439829389,Cuttack,Insta,Abhijeet Bramhane,Active lead,NO,NO
Kamal Thakur,2293897919,Mumbai,Insta,Akash Sharma,Active lead,NO,NO
Tamidela Jaganatha Reddy,9499844999,Banaganapalle,Insta,Suryakant Choudhary,End Lead,NO,NO
Nagendra Kumar,7229981791,mahmoodabad,Insta,Sushant Nikam,End Lead,NO,NO
Girish Venkitadrinath,9499997318,Manjeri,Insta,Azimuddin Mohd,End Lead,NO,NO
Kalai Art,9498299847,coimbatore,Insta,Tamanna Sahu,End Lead,NO,NO
Prachi,8881382192,Mumbai,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
radhika,8881382229,Nagpur ,Google Ad,Deepali Kasatwar,Hot lead,YES,Coverted
Pamela,8881382242,jamakandi,Google Ad,Roshan Patil,Active lead,NO,NO
Shraddha,8881382222,Kolkata,Google Ad,Kiran Dhakal,Hot lead,YES,Coverted
Ashish,8881382282,Anand,Insta,Pooja Melwani,Active lead,NO,NO
Khushi,8881382228,surat,Insta,Manisha Parte,Hot lead,NO,YES
Prajwal,8881382292,Navi Mumbai,Insta,Anchal Mishra,Hot lead,YES,Coverted
AjayDhakne,8881382313,Tirupur,Insta,Nilesh Shinde,Active lead,NO,NO
zehshaan,8881382229,Dharampur,Insta,Deepali Yadav,Hot lead,NO,YES
vivhapatil,8881382222,jameshpur,Insta,Ritik Yadav,Hot lead,YES,Coverted
Aditya vahwal,8881382224,Aurangabad,Insta,Abhijeet Bramhane,End Lead,NO,NO
Neel Thakur,8881382247,Bhadrak,Insta,Akash Sharma,Active lead,NO,NO
Pradeep madhvi,8881382294,Karwar,Insta,Suryakant Choudhary,Active lead,NO,NO
prashant patekar,8881382332,Chicago,Insta,Sushant Nikam,Active lead,NO,NO
Tushar Mhatre,8881382222,Solapur,FB,Azimuddin Mohd,End Lead,NO,NO
Sanika Koli,8881382221,Nanded,FB,Tamanna Sahu,Hot lead,YES,Coverted
Harish Mhatre,8881382232,Barabanki,FB,Rohit Sonar,End Lead,NO,NO
Mnav Patil,8881382291,Nanded,FB,Ronak Jadhav,Active lead,NO,NO
Karan Sutar,8881382192,khairthal,FB,Deepali Kasatwar,End Lead,NO,NO
Sahil dio,8881382192,Miryalaguda,FB,Roshan Patil,End Lead,NO,NO
vaibhav jdhav,8891382199,Lakhimpur,FB,Kiran Dhakal,End Lead,NO,NO
swapnil kadam,8891382182,Vemulawada,FB,Pooja Melwani,End Lead,NO,NO
sanil mhatre,8891382234,Kolkata,FB,Manisha Parte,End Lead,NO,NO
krishna tevar,8891382212,Surat,Investment Leads,Anchal Mishra,Active lead,NO,NO
abhijeet korde,8891382279,Kolkata,Investment Leads,Nilesh Shinde,Active lead,NO,NO
pranay shinde,8891382294,Solapur,FB,Deepali Yadav,Hot lead,YES,Coverted
murtuza mastan,8891382229,Surat,Investment Leads,Ritik Yadav,Hot lead,NO,YES
rupesh jadhav,8891382222,Solapur,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
koli sunny,8891382272,Surat,Investment Leads,Akash Sharma,Active lead,NO,NO
Mahesh Jadhav,8891382247,Nagpur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Yash otekar,8891382292,Nagpur,Investment Leads,Sushant Nikam,End Lead,NO,NO
pratikkk patil,8891382222,Solapur,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
pranit waskar,8891382299,Mumbai,Calling,Tamanna Sahu,Active lead,NO,NO
adesh patil,8891382172,Solapur,Calling,Rohit Sonar,Active lead,NO,NO
rohan shinde,8891382214,Surat,Calling,Sushant Nikam,Hot lead,NO,NO
suresh ,8891382222,tamilnadu,Calling,Azimuddin Mohd,Hot lead,YES,Coverted
vicky dio,8891382227,surat,whatsapp,Tamanna Sahu,Active lead,NO,NO
aman ratghore,8891382178,Punjab,whatsapp,Rohit Sonar,End Lead,NO,NO
anirudhha,8891382233,patna,Google Ad,Ronak Jadhav,Hot lead,YES,Coverted
kanhinya,8891382189,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
sanvesh patil,8791382243,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
jayant mhatre,8791382237,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
merlin,8791382782,Mumbai,Investment Leads,Pooja Melwani,Hot lead,NO,NO
sumit mhatre,8791382192,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
girish mhatre,8791382311,Mumbai,whatsapp,Anchal Mishra,Hot lead,NO,NO
shumbham pal,8791382298,Pune,whatsapp,Nilesh Shinde,Hot lead,NO,YES
bhavin bhoir,8791382222,tamilnadu,whatsapp,Deepali Yadav,End Lead,NO,NO
abhishek tandel,8791382221,Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
jeevan gavand,8791382179,ballia,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
amit mhatre,8791382194,Ballia,Google Ad,Akash Sharma,Active lead,NO,NO
mhatre harry,8791382227,jaitu punjab,Google Ad,Suryakant Choudhary,Active lead,NO,NO
vikrant,8791382212,Kolar Gold Fields (KGF),Google Ad,Sushant Nikam,End Lead,NO,NO
khush mhatre,8791382237,Alwar City,Google Ad,Azimuddin Mohd,End Lead,NO,NO
rohan mhatre,8791382249,Dehradun,Google Ad,Tamanna Sahu,Hot lead,YES,Coverted
afiya ,8791382299,Singapore,Google Ad,Rohit Sonar,Active lead,NO,NO
patil swayam,8791382229,Jaipur,Google Ad,Ronak Jadhav,Active lead,NO,NO
jay koli,8791382222,Hatta,Google Ad,Deepali Kasatwar,End Lead,NO,NO
